OBJECTID,NAME,PMA,PARKSBND_AREA,GLOBALID,SHAPE_Length,SHAPE_Area
334,NORTHEAST QUEEN ANNE GREENBELT,279,432699.591078,{CE060A4D-EFC1-432F-9C39-0C99C2DA8980},7535.93359715187,432697.860280033
335,NORTHGATE COMMUNITY CENTER,4425,102980.215021,{EA48627F-02D9-429A-B18C-37ED77BF570A},1290.22091404425,102979.80310297
336,NORTHGATE PARK,4445,51498.587752,{87209768-63DB-49B8-8DB5-4E20DFEB4E00},936.030637926204,51498.3817584292
337,NORTHLAKE PARK,4452,1659.700192,{91497B81-AC85-4B18-9A9A-B2AB38AEDCFD},212.509077639656,1659.69355352115
338,NW 60TH STREET VIEWPOINT,4161,5346.534796,{F2CF489F-5B82-44F4-8094-C96BFE39D7DE},364.667452792248,5346.51341018062
339,OBSERVATORY COURTS,322,36209.771604,{3BBE930D-18A9-446F-9079-B06B9C1E0AFF},820.13524698461,36209.626765468
340,OCCIDENTAL SQUARE,323,26627.306013,{5B36B0A6-CBD8-40D1-9DEE-483F1ACDA3D0},701.651605580831,26627.1995031637
341,OPEN WATER PARK,3005,611502.86605,{9B6C41F6-13B8-4752-969C-B344C5D4A8D4},3808.60272555608,611500.42004029
342,ORCHARD STREET RAVINE,300,74305.708384,{DCC7C64C-9CB5-469C-A13D-B93C7DC60C6F},1663.96775598715,74305.4111595783
343,OTHELLO PARK,403,329440.956566,{762F52E0-875C-4C07-9CDE-B2AA6418CFBB},2430.2861649738,329439.638806476
344,OXBOW PARK,4416,35415.357111,{854C53A7-810A-4DEF-921A-6C34FCD34549},794.568675816312,35415.2154497672
345,PARK HOME CIRCLE,4027,2827.071548,{1ED64341-2F20-4136-9B70-622D6BDA48E1},188.489419232719,2827.06023957125
346,PARKMONT PLACE,4009,9187.767657,{38914F9D-60D6-4118-9C6C-637806FAE8D9},802.410879327002,9187.73090550334
347,PARSONS GARDENS,324,19250.91849,{A6A5F24C-3A50-434F-A927-D70CE8175F2D},558.268768525939,19250.8414865221
348,PELLY PLACE NATURAL AREA,237,44779.014043,{83449EFB-6035-4AFC-883C-2D811FB0FCBE},1267.08663662516,44778.834926714
349,PENDLETON MILLER PLAYFIELD,373,329405.938467,{18C0B97A-457A-41CA-98D8-301B1EF8D661},2847.5845975268,329404.620844005
350,PEPPIS PLAYGROUND,378,99679.586384,{D94598B5-8730-4597-A46D-27EC4B708EBD},1229.17220175595,99679.1876650325
351,PICARDO (RAINIE) P-PATCH,4322,127560.158383,{1272C3A4-3D93-47BA-91DA-AB1C7DFA3E1B},1417.10115552153,127559.6481427
352,PIERS 62 AND 63,274,88215.779856,{1FC02E9A-8EBE-41CE-BECD-44BD9558FA3C},1490.23106979517,88215.4269927044
353,PIGEON POINT,282,1310747.411156,{5FFF68E5-4791-47C3-958B-C0D3C6F3A721},8030.85420120353,1310742.16817062
354,PINEHURST PLAYGROUND,382,54846.539681,{9EAD6712-88D1-4A2A-9782-D3068941A74D},949.731611522021,54846.320294587
355,PINEHURST POCKET PARK,4444,8104.743913,{CE3D553C-A46E-4B38-9865-25FC03A534A3},375.32396812793,8104.71149427556
356,PIONEER SQUARE,325,13852.940907,{A09215BE-D860-402C-BB8E-75EE917E817B},570.223617072844,13852.885495361
357,PIPERS CREEK NATURAL AREA,275,406754.49024,{6F68FCA9-3B2D-43F9-B685-F8B29B1DE537},3770.14847604494,406752.863222495
358,PLUM TREE PARK,387,14397.832322,{9419B47D-F4EC-4903-A77F-3E768A256990},480.027975928478,14397.7747301525
359,PLYMOUTH PILLARS PARK,4000,29733.633179,{D1C92761-ECB4-4F70-8926-BC73FD758BF6},1271.44500559196,29733.5142446641
360,POWELL BARNETT PARK,345,189757.733015,{1E3D405A-0DC7-4491-B5D4-20DCD4CE15F9},1884.90102172765,189756.973987829
361,PRATT PARK,390,237941.884273,{9A945A1F-2DF5-4D7E-96EB-E98390689707},2250.40178615652,237940.932507419
362,PREFONTAINE PLACE,326,1809.824619,{F04E6061-47D6-45B8-B2BA-2F56FF2BE94D},213.504587563613,1809.81737949921
363,PRENTIS I. FRAZIER PARK,357,15901.868822,{4E104EC7-3012-4CC1-ABC9-E3E675B3EB17},544.429493442305,15901.8052147961
364,PRITCHARD ISLAND BEACH,420,584016.255732,{DC76DF97-D06E-4C28-BD28-83386A6B9BB3},5778.45946048322,584013.919670506
365,PUGET BOULEVARD,4158,258799.129157,{2AA0ABA0-E265-4A56-BEA1-FD433ED0AA64},5276.49349389705,258798.093961041
366,PUGET CREEK EDIBLE PARK,4572,29350.806556,{924816E7-A04D-427B-A50D-8AA46A5863D6},739.168487516141,29350.6891531749
367,PUGET CREEK GREENSPACE,3993,303563.180623,{1103B3A5-2CDD-4C72-B60B-975F243FCDC6},4781.01063287368,303561.966371126
368,PUGET CREEK NATURAL AREA,3993,39253.302415,{47CE40CF-6C04-4352-9D69-C67A3B5981CC},1134.30674638759,39253.1454007986
369,PUGET PARK,462,956208.01539,{E409E439-0351-474C-80F9-5FB84C50FCD1},6727.92315666273,956204.190562312
370,PUGET RIDGE PLAYGROUND,4201,6261.688562,{15D4CA7A-1F39-4B5C-BA8B-2EB78BEE32B6},417.853409678135,6261.66351600139
371,QUEEN ANNE BOULEVARD,328,1317471.844324,{853F6E9C-D05E-422F-B767-F7FE5613692C},40353.7490391699,1317466.57443939
372,QUEEN ANNE BOWL PLAYFIELD,3984,236235.1377,{3515F744-0591-4BA1-B324-01CB72E65D79},2943.82196110848,236234.192759587
373,QUEEN ANNE SWIMMING POOL,337,43550.513694,{7B1EE60C-70FF-46A9-9843-BC9CE14FA2A6},965.68617315732,43550.3394918217
374,RAINBOW POINT,4045,34611.027042,{CB04C308-606E-443A-9877-926B1B4AAF7F},1195.26614608665,34610.8885979424
375,RAINIER BEACH COMMUNITY CENTER,434,126329.245476,{C93FD135-176A-4D41-B22B-D7772ED3E550},1532.28317670478,126328.740159469
376,RAINIER BEACH PLAYFIELD,422,412440.193335,{B0FC06B6-5A66-4784-86D2-C6BB5CECC32B},2772.4787487617,412438.543575808
377,RAINIER BEACH URBAN FARM AND WETLANDS,3946,434564.808928,{3DBC3383-A5CB-4F3D-99B0-43CB3D8F8ADD},5223.85352562119,434563.070667385
378,RAINIER PLACE,3999,412.299106,{A17504FE-33CA-4A83-A4B4-C44AC00992B1},86.2881962248062,412.297456789476
379,RAINIER PLAYFIELD,423,413283.605792,{E2FE02FA-9EBB-497F-8141-196FC2312577},2570.67660756515,413281.952659467
380,RAVENNA BOULEVARD,388,329432.83715,{6384E0C9-4DC7-4860-A170-B24B98DC2CB2},15017.6126767869,329431.519424972
381,RAVENNA PARK,391,2174801.934816,{4D396241-7E04-47AC-B14C-08FB044BC72E},10025.1912863135,2174793.23561269
382,RAVENNA RAVINE,254,42333.492131,{A912E4B3-5D28-4E71-9E7F-C3633949F075},1048.97277040844,42333.3227979789
383,RAVENNA WOODS,4411,50208.651985,{A573F3D9-8F86-4AC8-8BA6-071EFC88EE7D},961.938361361239,50208.4511508502
384,RAVENNA-ECKSTEIN PARK,488,143615.827076,{5BED8DFF-1601-465C-9ABC-989F04F5D28C},1993.91683246461,143615.252614589
385,REGRADE PARK,336,12959.375662,{DB69AFD4-9D61-445D-A1CC-24B453F6314A},456.003713059087,12959.3238249407
386,RIVERVIEW PLAYFIELD,463,1840779.31,{A36B6573-B6CD-4C8A-8F4C-43E061B1356E},6920.3536600862,1840771.94688843
387,ROANOKE PARK,379,109540.438609,{6E870DF3-07BE-4827-878E-0E0AA6AB284F},2253.2446623623,109540.000448286
388,ROANOKE STREET MINI PARK,4084,4701.688414,{A298A8CB-6FE7-4C1D-9174-4384828CEE18},480.875573970561,4701.66960661497
389,ROGERS PLAYGROUND,380,83660.36561,{2B810260-2372-4C89-902B-8D8EE27DDD6B},1181.80645604917,83660.0309698774
390,ROOSEVELT LAND-BANK SITE,4653,8701.726618,{74687A36-3786-443B-8268-0CAA53570337},484.820794355364,8701.69181145496
391,ROSS PLAYGROUND,248,102318.223309,{1CC81A43-590C-484F-85C1-BC21939C0730},1409.37570210271,102317.814035732
392,ROTARY VIEWPOINT,4465,97590.621594,{DA3061A2-68B9-4A18-AFD3-3A601A05F22A},2758.68076342838,97590.2312333496
393,ROXHILL PARK,464,583537.251923,{1719B7AD-5876-4831-97D2-F3F84DAC15AB},3812.54182995252,583534.917776684
394,S CHARLESTOWN & 35TH AVE S,4483,38660.403054,{70BD7ED8-84D8-4764-A424-24BDE1C21CD2},789.091821426042,38660.2484121386
395,S.W. COMMUNITY CENTER AND POOL,3996,104931.845657,{706D2E9D-A079-410A-A5A8-CFCEF4E9D6F3},1362.32659531614,104931.425929317
396,SACAJAWEA PLAYGROUND,394,113467.696705,{350697B2-0884-4A33-8F87-8E08D70DBADF},1361.45902411188,113467.242834757
397,SALMON BAY PARK,249,122885.013647,{410EE9A7-BDF0-43E3-8912-AEA758BE0B7D},1465.6846792414,122884.522106581
398,SAM SMITH PARK,4242,936860.510055,{FAAB757E-FAA5-4E44-B5E1-23608DF2A844},11169.8791964846,936856.762619439
